Before the meeting , Mary wrote down the following lists of words . One was : patience , notion , movie . And the other : patience , notion , movie .
Before the meeting , Mary wrote down the following lists of words . One was : illness , planet , canvas , chamber , future . And the other : illness , planet , canvas , chamber , future .
Before the meeting , Mary wrote down the following lists of words . One was : forehead , illness , planet , canvas , chamber . And the other : forehead , illness , planet , canvas , chamber .
Before the meeting , Mary wrote down the following lists of words . One was : prairie , forehead , illness , planet , canvas . And the other : prairie , forehead , illness , planet , canvas .
Before the meeting , Mary wrote down the following lists of words . One was : flavor , prairie , forehead , illness , planet . And the other : flavor , prairie , forehead , illness , planet .
Before the meeting , Mary wrote down the following lists of words . One was : problem , flavor , prairie , forehead , illness . And the other : problem , flavor , prairie , forehead , illness .
Before the meeting , Mary wrote down the following lists of words . One was : legend , problem , flavor , prairie , forehead . And the other : legend , problem , flavor , prairie , forehead .
Before the meeting , Mary wrote down the following lists of words . One was : oven , patient , daughter , bubble , colour . And the other : oven , patient , daughter , bubble , colour .
Before the meeting , Mary wrote down the following lists of words . One was : music , oven , patient , daughter , bubble . And the other : music , oven , patient , daughter , bubble .
Before the meeting , Mary wrote down the following lists of words . One was : fountain , music , oven , patient , daughter . And the other : fountain , music , oven , patient , daughter .
Before the meeting , Mary wrote down the following lists of words . One was : pepper , fountain , music , oven , patient . And the other : pepper , fountain , music , oven , patient .
Before the meeting , Mary wrote down the following lists of words . One was : echo , pepper , fountain , music , oven . And the other : echo , pepper , fountain , music , oven .
Before the meeting , Mary wrote down the following lists of words . One was : product , echo , pepper , fountain , music . And the other : product , echo , pepper , fountain , music .
Before the meeting , Mary wrote down the following lists of words . One was : colour , product , echo , pepper , fountain . And the other : colour , product , echo , pepper , fountain .
Before the meeting , Mary wrote down the following lists of words . One was : bubble , colour , product , echo , pepper . And the other : bubble , colour , product , echo , pepper .
