Before the meeting , Mary wrote down the following lists of words . One was : patience , notion , movie . And the other : movie , patience , notion .
Before the meeting , Mary wrote down the following lists of words . One was : illness , planet , canvas , chamber , future . And the other : chamber , illness , planet , canvas , future .
Before the meeting , Mary wrote down the following lists of words . One was : forehead , illness , planet , canvas , chamber . And the other : forehead , chamber , illness , planet , canvas .
Before the meeting , Mary wrote down the following lists of words . One was : prairie , forehead , illness , planet , canvas . And the other : canvas , planet , prairie , illness , forehead .
Before the meeting , Mary wrote down the following lists of words . One was : flavor , prairie , forehead , illness , planet . And the other : prairie , flavor , illness , planet , forehead .
Before the meeting , Mary wrote down the following lists of words . One was : problem , flavor , prairie , forehead , illness . And the other : prairie , problem , forehead , illness , flavor .
Before the meeting , Mary wrote down the following lists of words . One was : legend , problem , flavor , prairie , forehead . And the other : problem , forehead , legend , flavor , prairie .
Before the meeting , Mary wrote down the following lists of words . One was : oven , patient , daughter , bubble , colour . And the other : patient , oven , colour , bubble , daughter .
Before the meeting , Mary wrote down the following lists of words . One was : music , oven , patient , daughter , bubble . And the other : bubble , oven , patient , daughter , music .
Before the meeting , Mary wrote down the following lists of words . One was : fountain , music , oven , patient , daughter . And the other : daughter , music , oven , fountain , patient .
Before the meeting , Mary wrote down the following lists of words . One was : pepper , fountain , music , oven , patient . And the other : pepper , fountain , music , oven , patient .
Before the meeting , Mary wrote down the following lists of words . One was : echo , pepper , fountain , music , oven . And the other : echo , oven , pepper , fountain , music .
Before the meeting , Mary wrote down the following lists of words . One was : product , echo , pepper , fountain , music . And the other : pepper , product , echo , fountain , music .
Before the meeting , Mary wrote down the following lists of words . One was : colour , product , echo , pepper , fountain . And the other : colour , pepper , echo , fountain , product .
Before the meeting , Mary wrote down the following lists of words . One was : bubble , colour , product , echo , pepper . And the other : product , colour , bubble , echo , pepper .
