Before the meeting , Mary wrote down the following lists of words . One was : patience , notion , movie . And the other : doorway , candle , parent .
Before the meeting , Mary wrote down the following lists of words . One was : illness , planet , canvas , chamber , future . And the other : acid , stocking , olive , garden , feeling .
Before the meeting , Mary wrote down the following lists of words . One was : forehead , illness , planet , canvas , chamber . And the other : hatred , stanza , summer , bottom , meaning .
Before the meeting , Mary wrote down the following lists of words . One was : prairie , forehead , illness , planet , canvas . And the other : orange , letter , acid , stocking , olive .
Before the meeting , Mary wrote down the following lists of words . One was : flavor , prairie , forehead , illness , planet . And the other : surface , writing , pocket , training , circuit .
Before the meeting , Mary wrote down the following lists of words . One was : problem , flavor , prairie , forehead , illness . And the other : candle , parent , monarch , kindness , lover .
Before the meeting , Mary wrote down the following lists of words . One was : legend , problem , flavor , prairie , forehead . And the other : county , muscle , vapor , shepherd , sickness .
Before the meeting , Mary wrote down the following lists of words . One was : oven , patient , daughter , bubble , colour . And the other : season , supper , reason , patent , picture .
Before the meeting , Mary wrote down the following lists of words . One was : music , oven , patient , daughter , bubble . And the other : baby , treasure , event , weakness , cottage .
Before the meeting , Mary wrote down the following lists of words . One was : fountain , music , oven , patient , daughter . And the other : novel , folly , silver , eagle , center .
Before the meeting , Mary wrote down the following lists of words . One was : pepper , fountain , music , oven , patient . And the other : stocking , olive , garden , feeling , motion .
Before the meeting , Mary wrote down the following lists of words . One was : echo , pepper , fountain , music , oven . And the other : novel , folly , silver , eagle , center .
Before the meeting , Mary wrote down the following lists of words . One was : product , echo , pepper , fountain , music . And the other : iron , onion , opera , attack , prison .
Before the meeting , Mary wrote down the following lists of words . One was : colour , product , echo , pepper , fountain . And the other : career , bargain , chimney , effort , province .
Before the meeting , Mary wrote down the following lists of words . One was : bubble , colour , product , echo , pepper . And the other : meadow , writer , apple , costume , pleasure .
