Before the meeting , Mary wrote down the following lists of words . One was : window , door , roof . And the other : sparrow , heron , eagle .
Before the meeting , Mary wrote down the following lists of words . One was : parrot , pigeon , woodpecker , vulture , robin . And the other : pan , pot , stove , bowl , mixer .
Before the meeting , Mary wrote down the following lists of words . One was : hawk , parrot , pigeon , woodpecker , vulture . And the other : screws , hammer , saw , nails , level .
Before the meeting , Mary wrote down the following lists of words . One was : crow , hawk , parrot , pigeon , woodpecker . And the other : microbiology , chemistry , physics , psychology , biology .
Before the meeting , Mary wrote down the following lists of words . One was : eagle , crow , hawk , parrot , pigeon . And the other : cancer , measles , tuberculosis , polio , malaria .
Before the meeting , Mary wrote down the following lists of words . One was : heron , eagle , crow , hawk , parrot . And the other : hat , sweater , shirt , socks , pants .
Before the meeting , Mary wrote down the following lists of words . One was : sparrow , heron , eagle , crow , hawk . And the other : smallpox , influenza , encephalitis , cancer , measles .
Before the meeting , Mary wrote down the following lists of words . One was : apple , pear , banana , peach , grape . And the other : larceny , adultery , battery , murder , rape .
Before the meeting , Mary wrote down the following lists of words . One was : apricot , apple , pear , banana , peach . And the other : dress , hat , sweater , shirt , socks .
Before the meeting , Mary wrote down the following lists of words . One was : lemon , apricot , apple , pear , banana . And the other : clarinet , flute , guitar , saxophone , trombone .
Before the meeting , Mary wrote down the following lists of words . One was : grapefruit , lemon , apricot , apple , pear . And the other : adultery , battery , murder , rape , robbery .
Before the meeting , Mary wrote down the following lists of words . One was : plum , grapefruit , lemon , apricot , apple . And the other : pine , elm , birch , spruce , redwood .
Before the meeting , Mary wrote down the following lists of words . One was : cherry , plum , grapefruit , lemon , apricot . And the other : cup , dish , knife , spoon , fork .
Before the meeting , Mary wrote down the following lists of words . One was : grape , cherry , plum , grapefruit , lemon . And the other : oak , maple , pine , elm , birch .
Before the meeting , Mary wrote down the following lists of words . One was : peach , grape , cherry , plum , grapefruit . And the other : cave , mountain , hill , valley , river .
Before the meeting , Mary wrote down the following lists of words . One was : banana , peach , grape , cherry , plum . And the other : heron , eagle , crow , hawk , parrot .
Before the meeting , Mary wrote down the following lists of words . One was : pear , banana , peach , grape , cherry . And the other : oxygen , hydrogen , nitrogen , carbon , sodium .
Before the meeting , Mary wrote down the following lists of words . One was : hammer , saw , nails , level , plane . And the other : shoes , blouse , skirt , coat , dress .
Before the meeting , Mary wrote down the following lists of words . One was : screws , hammer , saw , nails , level . And the other : violin , clarinet , flute , guitar , saxophone .
Before the meeting , Mary wrote down the following lists of words . One was : drill , screws , hammer , saw , nails . And the other : ceiling , room , basement , hearth , hall .
Before the meeting , Mary wrote down the following lists of words . One was : wrench , drill , screws , hammer , saw . And the other : elm , birch , spruce , redwood , walnut .
Before the meeting , Mary wrote down the following lists of words . One was : ruler , wrench , drill , screws , hammer . And the other : ceiling , room , basement , hearth , hall .
Before the meeting , Mary wrote down the following lists of words . One was : chisel , ruler , wrench , drill , screws . And the other : chemistry , physics , psychology , biology , zoology .
Before the meeting , Mary wrote down the following lists of words . One was : plane , chisel , ruler , wrench , drill . And the other : cod , carp , pike , trout , shark .
Before the meeting , Mary wrote down the following lists of words . One was : level , plane , chisel , ruler , wrench . And the other : finger , ear , hand , toe , leg .
Before the meeting , Mary wrote down the following lists of words . One was : nails , level , plane , chisel , ruler . And the other : elephant , pig , bear , mouse , log .
Before the meeting , Mary wrote down the following lists of words . One was : saw , nails , level , plane , chisel . And the other : fork , pan , pot , stove , bowl .
Before the meeting , Mary wrote down the following lists of words . One was : hurricane , tornado , rain , snow , hail . And the other : felt , cotton , wool , silk , rayon .
Before the meeting , Mary wrote down the following lists of words . One was : sunshine , hurricane , tornado , rain , snow . And the other : pear , banana , peach , grape , cherry .
